id;﻿syn size;win size;ttl;os;major version;minor version;flows;percent in group;million flows
58;60;16060;64;Android;6;0;674;49.85207100591716;1.31476390445148
58;60;16060;64;Linux;N/A;N/A;563;41.642011834319526;1.0982375047569484
58;60;16060;64;Android;5;1;107;7.914201183431953;0.2087236465523863
59;60;16384;64;OpenBSD;N/A;N/A;53;100.0;0.10338647913342498
60;60;17520;128;Windows;10;0;232;86.89138576779027;0.4525596822444264
60;60;17520;128;Windows;N/A;N/A;35;13.108614232209737;0.06827408999377121
61;60;18980;64;Android;6;0;2730;46.06817414782316;5.325379019514155
61;60;18980;64;Android;5;1;971;16.385420182247724;1.8941183252557672
61;60;18980;64;Linux;N/A;N/A;881;14.866689166385418;1.7185563795574985
61;60;18980;64;Android;5;0;729;12.301721228484643;1.4220517601559775
61;60;18980;64;Android;7;0;525;8.85926425919676;1.0241113499065682
62;60;23360;64;Android;N/A;N/A;91;40.44444444444444;0.17751263398380515
62;60;23360;64;Android;2;2;47;20.88888888888889;0.09168234942020706
62;60;23360;64;Android;7;0;44;19.555555555555557;0.0858302845635981
62;60;23360;64;Linux;N/A;N/A;24;10.666666666666668;0.04681651885287169
62;60;23360;64;Android;2;3;14;6.222222222222222;0.027309635997508488
63;60;24800;64;Linux;N/A;N/A;967;100.0;1.8863155721136218
64;60;26200;64;Windows;5;1;18830;30.571159528525506;36.731460416648915
64;60;26200;64;Ubuntu;N/A;N/A;18116;29.41195570997175;35.33866898077598
64;60;26200;64;Fedora;N/A;N/A;15804;25.65834334513102;30.82867766461601
64;60;26200;64;Linux;N/A;N/A;8518;13.829269084651102;16.615962816198376
65;60;27200;64;Android;7;0;179;91.7948717948718;0.34917320311100136
65;60;27200;64;Android;6;0;16;8.205128205128204;0.031211012568581126
66;60;27600;64;Debian;N/A;N/A;6521;100.0;12.720438309982345
67;60;28200;64;Debian;N/A;N/A;9240;97.91247218395677;18.0243597583556
68;60;28400;64;Ubuntu;N/A;N/A;122;96.82539682539682;0.2379839708354311
69;60;28640;64;Ubuntu;N/A;N/A;43942;97.10724624870168;85.717144643037
